date,lmd_temperature,lmd_umidity,lmd-light,CO2,HumidityRatio,nwp_temperature,nwp_solar_radiation,hdd,occupancy
2/14/2015 9:00,20.033375,36.34338889,9.852777778,504.8680556,0.005272716,6.68,133.36,0.388,0
2/14/2015 10:00,20.2106694,36.33439891,75.34836066,510.1666667,0.005330002,7.76,193.87,0.343,0
2/14/2015 11:00,20.71200847,35.28403955,110.7596045,506.7231638,0.005338804,8.62,222.95,0.308,0
2/14/2015 12:00,20.61408333,34.77436111,70.70555555,506.2263889,0.005228988,8.74,205.33,0.303,0
2/14/2015 13:00,20.61463115,34.9991694,77.77240437,500.9918033,0.005263124,8.51,175.3,0.312,0
2/14/2015 14:00,20.14032486,35.77185876,31.28954802,508.090678,0.005223853,7.98,134.2,0.334,0
2/14/2015 15:00,19.87393056,36.13540278,27.68888889,511.1091667,0.005190333,7.19,81.95,0.367,0
2/14/2015 16:00,20.0292623,35.80452186,23.15846995,514.5737705,0.005192571,5.98,28.2,0.418,0
2/14/2015 17:00,19.97545198,35.57096045,7.04519774,516.8333333,0.005141138,5.44,0,0.44,0
2/14/2015 18:00,19.84486111,35.45722222,0,519.1083333,0.005082891,5.33,0,0.445,0
2/14/2015 19:00,19.84355191,35.4102459,0,521.4644809,0.005075683,5.08,0,0.455,0
2/14/2015 20:00,19.85412429,35.40026836,0,525.7259887,0.005077601,4.9,0,0.462,0
2/14/2015 21:00,19.91033333,35.22518056,0,532.6375,0.005070081,4.49,0,0.48,0
2/14/2015 22:00,19.89256831,35.83661202,0,532.6885246,0.005153106,3.76,0,0.51,0
2/14/2015 23:00,20.00276836,35.7269774,0,536.3234463,0.005172664,3.31,0,0.529,0
2/15/2015 0:00,19.96165278,35.52141667,0,538.7430556,0.00512949,3.14,0,0.536,0
2/15/2015 1:00,19.96699454,34.96165301,0,540.4153005,0.005049589,2.44,0,0.565,0
2/15/2015 2:00,19.98584746,34.1709887,0,543.2288136,0.004940299,1.96,0,0.585,0
2/15/2015 3:00,20.07763889,33.46361111,0,550.0125,0.004865059,1.92,0,0.587,0
2/15/2015 4:00,20.1045082,32.55487705,0,560.5040984,0.004739901,1.64,0,0.598,0
2/15/2015 5:00,20.10508475,32.26983051,0,567.7146893,0.004698258,1.75,0,0.594,0
2/15/2015 6:00,20.02436111,32.17402778,0,576.4180556,0.004660711,2,0,0.583,0
2/15/2015 7:00,20.03360656,31.5420082,0.68852459,591.3210383,0.00457104,2.52,31.27,0.562,0
2/15/2015 8:00,20.20087571,30.62706215,41.54237288,608.6129944,0.004483832,3.56,162.3,0.518,0
2/15/2015 9:00,21.19841667,29.23091667,214.4913889,627.4055556,0.00455121,5.02,292.27,0.458,0
2/15/2015 10:00,21.88793716,28.98718579,176.2360656,639.6051913,0.004709147,6.35,361.01,0.402,0
2/15/2015 11:00,22.30975989,28.87683616,289.9717514,630.0025424,0.004814121,7.48,420.5,0.355,0
2/15/2015 12:00,22.89666667,28.60575,270.8958333,631.9847222,0.004943269,8.51,423.77,0.312,0
2/15/2015 13:00,22.48103825,29.60168306,92.06967213,650.7117486,0.004987613,9.02,387.34,0.291,0
2/15/2015 14:00,21.95427966,30.52449153,78.03220339,671.1751412,0.004981161,9.12,297.88,0.287,0
2/15/2015 15:00,21.64593056,31.12830556,54.52638889,658.2647222,0.004984945,8.21,172.4,0.325,0
2/15/2015 16:00,21.14967213,31.84260929,29.7568306,669.4795082,0.004946341,4.9,46.27,0.462,0
2/15/2015 17:00,20.66765537,32.33748588,13.11016949,679.2591808,0.004875866,3,0,0.542,0
2/15/2015 18:00,20.49388889,32.77905556,0,665.8472222,0.004889956,2.03,0,0.582,0
2/15/2015 19:00,20.40532787,32.69374317,0,662.829235,0.004850334,1.2,0,0.617,0
2/15/2015 20:00,20.40305085,32.20957627,0,683.9039548,0.004777309,0.87,0,0.63,0
2/15/2015 21:00,20.35055556,31.68172222,0,703.9361111,0.004683134,1.3,0,0.612,0
2/15/2015 22:00,20.27737705,30.90222678,0,719.1557377,0.004546288,1.91,0,0.587,0
2/15/2015 23:00,20.2579661,29.96798023,0,730.1666667,0.00440252,1.97,0,0.585,0
2/16/2015 0:00,20.28170833,29.08469444,0,747.1972222,0.004278156,1.26,0,0.614,0
2/16/2015 1:00,20.30887978,28.15449454,0,845.6393443,0.004147361,0.68,0,0.638,0
2/16/2015 2:00,20.38378531,27.24096045,0,858.5437853,0.004030737,-0.2,0,0.675,0
2/16/2015 3:00,20.39519444,26.61172222,0,862.2736111,0.003939826,-0.9,0,0.704,0
2/16/2015 4:00,20.37196721,26.04821038,0,817.6967213,0.003850317,-0.86,0,0.702,0
2/16/2015 5:00,20.42293785,25.46285311,0,792.5677966,0.003775202,-0.1,0,0.671,0
2/16/2015 6:00,20.39641667,25.02940278,0,803.7,0.003704464,-0.24,0,0.677,0
2/16/2015 7:00,20.39,24.58510929,0,811.7404372,0.003636857,-0.24,25.18,0.677,0
2/16/2015 8:00,20.44700565,24.53840395,125.049435,836.6646893,0.0036432,0.43,66.47,0.649,0
2/16/2015 9:00,21.13729167,26.89233056,462.5194444,983.5305555,0.004170478,1.73,149.27,0.595,1
2/16/2015 10:00,21.49954918,27.2875,459.5478142,978.1196721,0.004326342,3.18,215.87,0.534,1
2/16/2015 11:00,21.48819209,28.29646893,452.5451977,1007.884746,0.004484382,3.64,227,0.515,1
2/16/2015 12:00,21.48647222,28.05473889,459.6527778,915.745,0.004445457,3.89,229.26,0.505,1
2/16/2015 13:00,21.5376776,28.12304645,459.1571038,868.218306,0.004470347,4.01,201.78,0.5,1
2/16/2015 14:00,21.66548023,28.74539548,458.9844633,896.060452,0.004606312,3.89,145.25,0.505,1
2/16/2015 15:00,21.76385278,28.89842778,453.1319444,882.8902778,0.004659077,3.52,93.31,0.52,1
2/16/2015 16:00,21.77403005,29.58277322,440.7131148,916.6898907,0.004773036,3.05,25.7,0.54,1
2/16/2015 17:00,21.93370056,30.10402542,425.3149718,971.6016949,0.004905983,2.88,0,0.547,1
2/16/2015 18:00,21.577,30.25616667,34.79166667,904.1638889,0.004824331,2.82,0,0.549,1
2/16/2015 19:00,20.75576503,30.42803279,0,777.7213115,0.004611135,2.76,0,0.552,0
2/16/2015 20:00,20.47742938,30.34878531,0,735.3418079,0.004520221,2.76,0,0.552,0
2/16/2015 21:00,20.37444444,30.16888889,0,722.5125,0.004464477,2.73,0,0.553,0
2/16/2015 22:00,20.33094262,30.19445355,0,715.3661202,0.004456192,2.61,0,0.558,0
2/16/2015 23:00,20.20050847,30.51728814,0,713.980226,0.004467757,2.27,0,0.572,0
2/17/2015 0:00,20.17302778,30.39494444,0,714.6125,0.004442118,1.82,0,0.591,0
2/17/2015 1:00,20.01530055,30.2852459,0,714.4740437,0.004382673,1.41,0,0.608,0
2/17/2015 2:00,19.95059322,30.37446328,0,717.1991525,0.004377952,1.19,0,0.617,0
2/17/2015 3:00,20.08088889,30.47036111,0,724.3041667,0.004427755,1.19,0,0.617,0
2/17/2015 4:00,20.3961612,30.38319672,0,733.9972678,0.004502524,1.27,0,0.614,0
2/17/2015 5:00,20.4165678,30.40567797,0,738.411017,0.004511535,1.43,0,0.607,0
2/17/2015 6:00,20.45133333,30.41008333,0,750.1736111,0.00452201,1.55,0,0.602,0
2/17/2015 7:00,20.66461749,30.25312842,0,769.6065574,0.004558505,2,13.26,0.583,0
2/17/2015 8:00,20.63631356,30.5480226,145.5310734,800.0974576,0.004595324,2.95,59.27,0.544,1
2/17/2015 9:00,21.049125,31.27559722,428.0222222,912.7672222,0.004827755,4.01,108.4,0.5,1
2/17/2015 10:00,21.28945355,31.3829918,432.6229508,977.9234973,0.004916798,5.12,167.77,0.453,1
2/17/2015 11:00,21.43179944,32.48603955,437.2415254,1093.765537,0.005136061,6.01,231.88,0.416,1
2/17/2015 12:00,21.66925,32.84329722,451.3777778,1223.648333,0.005269619,6.7,252.2,0.388,1
2/17/2015 13:00,21.7116694,33.43035519,273.034153,1149.405191,0.005378769,7.22,299.48,0.366,1
2/17/2015 14:00,21.98367232,34.3894774,455.1926554,1298.189548,0.005628189,7.44,248.82,0.357,1
2/17/2015 15:00,22.18573611,34.22527778,456.8541667,1410.719444,0.005670795,6.82,166.79,0.382,1
2/17/2015 16:00,22.18770492,34.40057377,437.6379781,1474.693989,0.005700807,4.49,53.73,0.48,1
2/17/2015 17:00,22.15734463,34.38186441,435.8728814,1613.122881,0.005687018,2.53,0,0.561,1
2/17/2015 18:00,21.88347222,34.23265278,46.49722222,1525.898611,0.00556799,0.87,0,0.63,1
2/17/2015 19:00,21.23553279,34.23374317,0,1479.230874,0.005349462,-0.25,0,0.677,0
2/17/2015 20:00,20.99669492,33.91587571,0,1509.669491,0.005221455,-1.05,0,0.71,0
2/17/2015 21:00,20.90383333,33.03493056,0,1584.452778,0.005055683,-1.11,0,0.713,0
2/17/2015 22:00,20.82661202,31.61204918,0,1523.344262,0.004813098,-0.39,0,0.683,0
2/17/2015 23:00,20.87615819,30.19751412,0,1194.785311,0.004610101,0.12,0,0.662,0
2/18/2015 0:00,20.88194444,28.87541667,0,1280.119444,0.004408485,0.01,0,0.666,0
2/18/2015 1:00,20.81234973,27.68004098,0,1428.852459,0.004206692,-0.09,0,0.67,0
2/18/2015 2:00,20.71844633,26.87754237,0,1247.990113,0.004060072,-0.48,0,0.687,0
2/18/2015 3:00,20.79111111,26.36522222,0,1332.5125,0.00400018,-0.81,0,0.7,0
2/18/2015 4:00,20.7931694,26.09221311,0,1471.438525,0.003958999,-0.98,0,0.708,0
2/18/2015 5:00,20.77461864,26.29379944,0,1527.624294,0.003985207,-1.21,0,0.717,0
2/18/2015 6:00,20.772,26.63977778,0,1512.427778,0.004037326,-1.4,0,0.725,0
2/18/2015 7:00,20.74586066,27.07459016,0,1457.401639,0.004096997,-1.06,36.92,0.711,0
2/18/2015 8:00,20.78932203,27.04837571,9.971751412,1439.636723,0.004104033,-0.01,139.28,0.667,1
2/18/2015 9:00,20.83341667,27.157625,192.1916667,1499.079167,0.004132188,1.94,78.527,0.195,0
